,horizontal_difference,trial
1,-10.21679688,vp1_124_Session1_d01_b01_29
2,-10.21679688,vp1_124_Session1_d01_b01_29
0,1.585784912109375,vp1_127_Session1_d01_b01_32
1,1.585784912109375,vp1_127_Session1_d01_b01_32
2,1.585784912109375,vp1_127_Session1_d01_b01_32
0,8.500305176,vp1_128_Session1_d01_b01_33
1,8.500305176,vp1_128_Session1_d01_b01_33
2,8.500305176,vp1_128_Session1_d01_b01_33
0,-7.705841064,vp1_130_Session1_d01_b01_35
1,-7.705841064,vp1_130_Session1_d01_b01_35
2,-7.705841064,vp1_130_Session1_d01_b01_35
0,50.196502685546875,vp1_131_Session1_d01_b01_36
1,50.196502685546875,vp1_131_Session1_d01_b01_36
2,50.196502685546875,vp1_131_Session1_d01_b01_36
3,-3.116241455,vp1_131_Session1_d01_b01_36
4,-3.116241455,vp1_131_Session1_d01_b01_36
5,-3.116241455,vp1_131_Session1_d01_b01_36
0,-9.094726563,vp1_132_Session1_d01_b01_37
1,-9.094726563,vp1_132_Session1_d01_b01_37
2,-9.094726563,vp1_132_Session1_d01_b01_37
0,21.90484619140625,vp1_134_Session1_d01_b01_39
1,21.90484619140625,vp1_134_Session1_d01_b01_39
2,21.90484619140625,vp1_134_Session1_d01_b01_39
3,-19.65423584,vp1_134_Session1_d01_b01_39
4,-19.65423584,vp1_134_Session1_d01_b01_39
5,-19.65423584,vp1_134_Session1_d01_b01_39
0,1.119354248046875,vp1_136_Session1_d01_b01_41
1,1.119354248046875,vp1_136_Session1_d01_b01_41
2,1.119354248046875,vp1_136_Session1_d01_b01_41
0,5.971191406,vp1_137_Session1_d01_b01_42
1,5.971191406,vp1_137_Session1_d01_b01_42
2,5.971191406,vp1_137_Session1_d01_b01_42
0,-6.484771729,vp1_138_Session1_d01_b01_43
1,-6.484771729,vp1_138_Session1_d01_b01_43
2,-6.484771729,vp1_138_Session1_d01_b01_43
0,-4.732910156,vp1_140_Session1_d01_b01_45
1,-4.732910156,vp1_140_Session1_d01_b01_45
2,-4.732910156,vp1_140_Session1_d01_b01_45
0,17.462982177734375,vp1_142_Session1_d01_b01_47
1,17.462982177734375,vp1_142_Session1_d01_b01_47
2,17.462982177734375,vp1_142_Session1_d01_b01_47
3,-17.41116333,vp1_142_Session1_d01_b01_47
4,-17.41116333,vp1_142_Session1_d01_b01_47
5,-17.41116333,vp1_142_Session1_d01_b01_47
0,-7.029327393,vp1_143_Session1_d01_b01_48
1,-7.029327393,vp1_143_Session1_d01_b01_48
2,-7.029327393,vp1_143_Session1_d01_b01_48
0,12.92633056640625,vp1_145_Session1_d01_b02_2
1,12.92633056640625,vp1_145_Session1_d01_b02_2
2,12.92633056640625,vp1_145_Session1_d01_b02_2
0,-19.62008667,vp1_148_Session1_d01_b02_5
1,-19.62008667,vp1_148_Session1_d01_b02_5
2,-19.62008667,vp1_148_Session1_d01_b02_5
0,55.185638427734375,vp1_149_Session1_d01_b02_6
1,55.185638427734375,vp1_149_Session1_d01_b02_6
2,55.185638427734375,vp1_149_Session1_d01_b02_6
0,12.184906005859375,vp1_150_Session1_d01_b02_7
1,12.184906005859375,vp1_150_Session1_d01_b02_7
2,12.184906005859375,vp1_150_Session1_d01_b02_7
0,19.92773438,vp1_152_Session1_d01_b02_9
1,19.92773438,vp1_152_Session1_d01_b02_9
2,19.92773438,vp1_152_Session1_d01_b02_9
0,0.592102051,vp1_153_Session1_d01_b02_10
1,0.592102051,vp1_153_Session1_d01_b02_10
2,0.592102051,vp1_153_Session1_d01_b02_10
0,16.77929688,vp1_154_Session1_d01_b02_11
1,16.77929688,vp1_154_Session1_d01_b02_11
2,16.77929688,vp1_154_Session1_d01_b02_11
3,-23.98739624,vp1_154_Session1_d01_b02_11
4,-23.98739624,vp1_154_Session1_d01_b02_11
5,-23.98739624,vp1_154_Session1_d01_b02_11
0,-10.87301636,vp1_155_Session1_d01_b02_12
1,-10.87301636,vp1_155_Session1_d01_b02_12
2,-10.87301636,vp1_155_Session1_d01_b02_12
0,34.79980469,vp1_156_Session1_d01_b02_13
1,34.79980469,vp1_156_Session1_d01_b02_13
2,34.79980469,vp1_156_Session1_d01_b02_13
0,-20.28668213,vp1_157_Session1_d01_b02_14
1,-20.28668213,vp1_157_Session1_d01_b02_14
2,-20.28668213,vp1_157_Session1_d01_b02_14
0,-7.497650146,vp1_158_Session1_d01_b02_15
1,-7.497650146,vp1_158_Session1_d01_b02_15
2,-7.497650146,vp1_158_Session1_d01_b02_15
0,-2.99786377,vp1_160_Session1_d01_b02_17
1,-2.99786377,vp1_160_Session1_d01_b02_17
2,-2.99786377,vp1_160_Session1_d01_b02_17
0,26.289825439453125,vp1_161_Session1_d01_b02_18
1,26.289825439453125,vp1_161_Session1_d01_b02_18
2,26.289825439453125,vp1_161_Session1_d01_b02_18
0,-0.344848633,vp1_163_Session1_d01_b02_20
1,-0.344848633,vp1_163_Session1_d01_b02_20
2,-0.344848633,vp1_163_Session1_d01_b02_20
0,-20.78991699,vp1_164_Session1_d01_b02_21
1,-20.78991699,vp1_164_Session1_d01_b02_21
2,-20.78991699,vp1_164_Session1_d01_b02_21
0,-7.429321289,vp1_165_Session1_d01_b02_22
1,-7.429321289,vp1_165_Session1_d01_b02_22
2,-7.429321289,vp1_165_Session1_d01_b02_22
0,-19.68612671,vp1_166_Session1_d01_b02_23
1,-19.68612671,vp1_166_Session1_d01_b02_23
2,-19.68612671,vp1_166_Session1_d01_b02_23
0,38.99188232421875,vp1_170_Session1_d01_b02_27
1,38.99188232421875,vp1_170_Session1_d01_b02_27
2,38.99188232421875,vp1_170_Session1_d01_b02_27
0,7.103637695,vp1_171_Session1_d01_b02_28
1,7.103637695,vp1_171_Session1_d01_b02_28
2,7.103637695,vp1_171_Session1_d01_b02_28
0,4.113372802734375,vp1_172_Session1_d01_b02_29
1,4.113372802734375,vp1_172_Session1_d01_b02_29
